[2026-05-13 21:40:53,390] 20 root - INFO - Initiate the data ingestion
[2026-05-13 21:40:55,114] 69 root - INFO - Performed train test split on the dataframe
[2026-05-13 21:40:55,114] 71 root - INFO - Exited split_data_as_train_test_split method of Data_Ingestion class
[2026-05-13 21:40:55,114] 78 root - INFO - Exporting train and test file path.
[2026-05-13 21:40:55,159] 88 root - INFO - Exported train and test file path. 
[2026-05-13 21:40:55,175] 22 root - INFO - Data Initiation Completed
[2026-05-13 21:40:55,175] 26 root - INFO - Initiate the data Validation
[2026-05-13 21:40:55,272] 35 root - INFO - Required number of columns: 31
[2026-05-13 21:40:55,272] 36 root - INFO - Data frame has columns: 31
[2026-05-13 21:40:55,272] 35 root - INFO - Required number of columns: 31
[2026-05-13 21:40:55,272] 36 root - INFO - Data frame has columns: 31
[2026-05-13 21:40:55,430] 28 root - INFO - data Validation Completed
[2026-05-13 21:40:55,430] 31 root - INFO - data Transformation started
[2026-05-13 21:40:55,443] 50 root - INFO - Entered get_data__transformer_object method of Transformation class
[2026-05-13 21:40:55,454] 55 root - INFO - Initialise KNNImputrer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-05-13 21:40:55,456] 52 root - INFO - Entered the save_object methods of MainUtils class
[2026-05-13 21:40:55,466] 56 root - INFO - Exited the save_object method of MainUtils class
[2026-05-13 21:40:55,471] 35 root - INFO - data Transformation completed
[2026-05-13 21:40:55,471] 37 root - INFO - Model Training sstared
[2026-05-13 21:44:04,650] 52 root - INFO - Entered the save_object methods of MainUtils class
[2026-05-13 21:44:04,651] 56 root - INFO - Exited the save_object method of MainUtils class
[2026-05-13 21:44:04,651] 52 root - INFO - Entered the save_object methods of MainUtils class
[2026-05-13 21:44:04,693] 56 root - INFO - Exited the save_object method of MainUtils class
[2026-05-13 21:44:04,693] 136 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\05_13_2026_21_40_48\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificatioMetricArtifact(f1_score=0.9913696822012387, precision_score=0.9892603850050659, recall_score=0.9934879934879934), test_metric_artifact=ClassificatioMetricArtifact(f1_score=0.9739478957915831, precision_score=0.9704472843450479, recall_score=0.9774738535800482))
[2026-05-13 21:44:04,697] 42 root - INFO - Model Training artifact created
