[2026-05-13 20:43:01,343] 20 root - INFO - Initiate the data ingestion
[2026-05-13 20:43:05,276] 69 root - INFO - Performed train test split on the dataframe
[2026-05-13 20:43:05,276] 71 root - INFO - Exited split_data_as_train_test_split method of Data_Ingestion class
[2026-05-13 20:43:05,276] 78 root - INFO - Exporting train and test file path.
[2026-05-13 20:43:05,412] 88 root - INFO - Exported train and test file path. 
[2026-05-13 20:43:05,423] 22 root - INFO - Data Initiation Completed
[2026-05-13 20:43:05,439] 26 root - INFO - Initiate the data Validation
[2026-05-13 20:43:05,669] 35 root - INFO - Required number of columns: 31
[2026-05-13 20:43:05,669] 36 root - INFO - Data frame has columns: 31
[2026-05-13 20:43:05,669] 35 root - INFO - Required number of columns: 31
[2026-05-13 20:43:05,669] 36 root - INFO - Data frame has columns: 31
[2026-05-13 20:43:06,050] 28 root - INFO - data Validation Completed
[2026-05-13 20:43:06,050] 31 root - INFO - data Transformation started
[2026-05-13 20:43:06,153] 50 root - INFO - Entered get_data__transformer_object method of Transformation class
[2026-05-13 20:43:06,153] 55 root - INFO - Initialise KNNImputrer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-05-13 20:43:06,185] 52 root - INFO - Entered the save_object methods of MainUtils class
[2026-05-13 20:43:06,189] 56 root - INFO - Exited the save_object method of MainUtils class
[2026-05-13 20:43:06,201] 35 root - INFO - data Transformation completed
[2026-05-13 20:43:06,201] 37 root - INFO - Model Training sstared
[2026-05-13 20:49:50,944] 53 root - INFO - MLflow tracking started
[2026-05-13 20:49:51,097] 52 root - INFO - Entered the save_object methods of MainUtils class
[2026-05-13 20:49:51,231] 56 root - INFO - Exited the save_object method of MainUtils class
[2026-05-13 20:49:51,231] 52 root - INFO - Entered the save_object methods of MainUtils class
[2026-05-13 20:49:51,267] 56 root - INFO - Exited the save_object method of MainUtils class
[2026-05-13 20:49:51,267] 186 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\05_13_2026_20_42_55\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificatioMetricArtifact(f1_score=0.991096721974909, precision_score=0.9882970137207425, recall_score=0.9939123376623377), test_metric_artifact=ClassificatioMetricArtifact(f1_score=0.9700162074554295, precision_score=0.9661016949152542, recall_score=0.9739625711960944))
[2026-05-13 20:49:51,267] 42 root - INFO - Model Training artifact created
