[2026-05-13 21:31:36,361] 20 root - INFO - Initiate the data ingestion
[2026-05-13 21:31:37,903] 69 root - INFO - Performed train test split on the dataframe
[2026-05-13 21:31:37,903] 71 root - INFO - Exited split_data_as_train_test_split method of Data_Ingestion class
[2026-05-13 21:31:37,904] 78 root - INFO - Exporting train and test file path.
[2026-05-13 21:31:37,974] 88 root - INFO - Exported train and test file path. 
[2026-05-13 21:31:37,975] 22 root - INFO - Data Initiation Completed
[2026-05-13 21:31:37,981] 26 root - INFO - Initiate the data Validation
[2026-05-13 21:31:38,052] 35 root - INFO - Required number of columns: 31
[2026-05-13 21:31:38,052] 36 root - INFO - Data frame has columns: 31
[2026-05-13 21:31:38,053] 35 root - INFO - Required number of columns: 31
[2026-05-13 21:31:38,053] 36 root - INFO - Data frame has columns: 31
[2026-05-13 21:31:38,228] 28 root - INFO - data Validation Completed
[2026-05-13 21:31:38,228] 31 root - INFO - data Transformation started
[2026-05-13 21:31:38,250] 50 root - INFO - Entered get_data__transformer_object method of Transformation class
[2026-05-13 21:31:38,251] 55 root - INFO - Initialise KNNImputrer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-05-13 21:31:38,264] 52 root - INFO - Entered the save_object methods of MainUtils class
[2026-05-13 21:31:38,268] 56 root - INFO - Exited the save_object method of MainUtils class
[2026-05-13 21:31:38,274] 35 root - INFO - data Transformation completed
[2026-05-13 21:31:38,274] 37 root - INFO - Model Training sstared
