[2026-05-14 00:29:36,877] 20 root - INFO - Initiate the data ingestion
[2026-05-14 00:29:38,357] 69 root - INFO - Performed train test split on the dataframe
[2026-05-14 00:29:38,357] 71 root - INFO - Exited split_data_as_train_test_split method of Data_Ingestion class
[2026-05-14 00:29:38,357] 78 root - INFO - Exporting train and test file path.
[2026-05-14 00:29:38,422] 88 root - INFO - Exported train and test file path. 
[2026-05-14 00:29:38,423] 22 root - INFO - Data Initiation Completed
[2026-05-14 00:29:38,429] 26 root - INFO - Initiate the data Validation
[2026-05-14 00:29:38,517] 35 root - INFO - Required number of columns: 31
[2026-05-14 00:29:38,517] 36 root - INFO - Data frame has columns: 31
[2026-05-14 00:29:38,517] 35 root - INFO - Required number of columns: 31
[2026-05-14 00:29:38,517] 36 root - INFO - Data frame has columns: 31
[2026-05-14 00:29:38,677] 28 root - INFO - data Validation Completed
[2026-05-14 00:29:38,677] 31 root - INFO - data Transformation started
[2026-05-14 00:29:38,700] 50 root - INFO - Entered get_data__transformer_object method of Transformation class
[2026-05-14 00:29:38,700] 55 root - INFO - Initialise KNNImputrer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-05-14 00:29:38,710] 52 root - INFO - Entered the save_object methods of MainUtils class
[2026-05-14 00:29:38,715] 56 root - INFO - Exited the save_object method of MainUtils class
[2026-05-14 00:29:38,716] 35 root - INFO - data Transformation completed
[2026-05-14 00:29:38,716] 37 root - INFO - Model Training sstared
[2026-05-14 00:35:00,808] 52 root - INFO - Entered the save_object methods of MainUtils class
[2026-05-14 00:35:00,808] 56 root - INFO - Exited the save_object method of MainUtils class
[2026-05-14 00:35:00,808] 52 root - INFO - Entered the save_object methods of MainUtils class
[2026-05-14 00:35:00,849] 56 root - INFO - Exited the save_object method of MainUtils class
[2026-05-14 00:35:00,852] 136 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\05_14_2026_00_29_31\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificatioMetricArtifact(f1_score=0.9913323926627696, precision_score=0.9893381613357474, recall_score=0.993334679862654), test_metric_artifact=ClassificatioMetricArtifact(f1_score=0.9780356402818069, precision_score=0.9776304888152444, recall_score=0.978441127694859))
[2026-05-14 00:35:00,859] 42 root - INFO - Model Training artifact created
